Step,Training Loss
1,3.049900
2,3.694300
3,3.883700
4,2.887500
5,3.046500
6,3.193800
7,2.301000
8,2.464300
9,2.016300
10,1.539500
11,2.599200
12,2.375200
13,2.335700
14,2.196200
15,2.174000
16,2.454200
17,2.065700
18,2.155900
19,2.269000
20,1.930500
21,1.868300
22,2.303000
23,2.138000
24,1.873400
25,2.102300
26,2.131700
27,2.023500
28,2.245100
29,1.883100
30,2.013900
31,1.906400
32,2.098200
33,1.571400
34,1.526500
35,1.741100
36,1.896600
37,2.129800
38,2.235400
39,1.955400
40,2.092900
41,1.587100
42,2.072200
43,1.872800
44,1.909400
45,1.842500
46,2.329500
47,1.942600
48,2.311000
49,1.797000
50,2.046100
51,2.103100
52,2.225100
53,1.721800
54,1.861100
55,2.119100
56,1.950600
57,2.076400
58,1.748900
59,2.025500
60,1.739300
61,1.829600
62,2.043400
63,1.836100
64,1.948600
65,2.106100
66,1.852000
67,1.748100
68,2.045700
69,2.047400
70,2.312000
71,1.611800
72,2.189800
73,2.070800
74,2.092000
75,2.327600
76,2.142700
77,2.368600
78,1.716100
79,2.037100
80,1.989200
81,2.051400
82,1.801600
83,1.804600
84,2.155500
85,2.137600
86,1.962400
87,2.349500
88,1.929600
89,2.353500
90,2.126900
91,1.780500
92,2.327800
93,2.111500
94,2.163000
95,2.226800
96,2.077600
97,2.071700
98,1.642400
99,1.855300
100,1.842800
101,2.113200
102,1.867700
103,1.964300
104,1.767200
105,1.533500
106,1.843600
107,2.337300
108,2.112100
109,2.197700
110,2.156400
111,2.018100
112,1.853700
113,2.273800
114,2.175900
115,2.046900
116,1.541200
117,1.577100
118,2.009700
119,1.953600
120,2.302400
121,2.012700
122,1.968900
123,2.076700
124,2.256300
125,2.043200
126,2.278900
127,1.934900
128,2.087800
129,2.195600
130,1.618800
131,2.057100
132,1.971600
133,1.770600
134,1.680100
135,1.871400
136,1.665400
137,1.829600
138,2.264600
139,2.339700
140,2.027500
141,1.958400
142,2.173000
143,2.015400
144,1.797400
145,1.927800
146,1.862600
147,1.637100
148,2.009300
149,2.075500
150,1.969400
151,1.931400
152,2.211000
153,2.123300
154,2.165300
155,1.561200
156,1.738300
157,1.874400
158,1.507500
159,2.125800
160,1.825100
161,1.872200
162,1.692200
163,1.983700
164,2.033600
165,1.846600
166,2.387100
167,1.941800
168,1.973300
169,1.898900
170,1.858200
171,1.890300
172,1.941500
173,1.933200
174,1.943800
175,1.950800
176,1.297800
177,1.938400
178,1.822700
179,2.110400
180,1.760100
181,1.792700
182,2.120400
183,1.519300
184,2.201900
185,2.146800
186,1.859500
187,2.075600
188,2.028600
189,1.933300
190,1.939300
191,2.017300
192,1.909200
193,2.012000
194,2.146000
195,1.684000
196,1.703300
197,2.177200
198,1.958300
199,1.816900
200,1.769300
201,1.821600
202,1.772400
203,2.058700
204,1.689100
205,1.625700
206,2.084900
207,1.977700
208,1.770000
209,2.126400
210,1.936400
211,2.268000
212,1.833000
213,1.757900
214,2.254800
215,2.149200
216,1.286100
217,2.110900
218,1.779400
219,2.046800
220,2.160000
221,2.017300
222,2.241900
223,1.447900
224,2.043800
225,2.042500
226,2.209700
227,2.051300
228,1.868200
229,1.741600
230,2.020600
231,2.285000
232,1.664100
233,2.254800
234,1.787400
235,1.836000
236,2.082200
